usuario,op,co,ex,ag,ne,wordcount
KAKA,0.33954321639602436,0.5026324809937665,0.5982379064975867,0.5801531576842757,0.30645283655410915,0.26613480993804745
kanyewest,0.4631457821523852,0.362369563873559,0.5543557313113987,0.15644532113623943,0.21981472311896216,0.4209096428019291
KateUpton,0.3872239684051586,0.3378048786616724,0.7078107325656746,0.4487507296454536,0.19433426053552055,0.5377418430409913
katyperry,0.4399544539950222,0.498343536609826,0.41537073151732473,0.18529734956578725,0.422010237033771,0.4427009686919077
KevinSpacey,0.4108634957801751,0.4782560686035815,0.5219570729854357,0.3585366735623231,0.3835035082633102,0.7659486318028077
KidRock,0.4410935840158421,0.4628562994944586,0.4244646571119971,0.09117971228669391,0.3012077304895898,0.4335320490341361
kobebryant,0.24621445743491932,0.5849184495327485,0.4047519088989695,0.36766975485031783,0.434437721152494,0.4507193546076025
ladygaga,0.4565939969186814,0.43673390617379526,0.34584621221083645,0.420166084682131,0.3426708939753965,0.7567698140669601
LennyKravitz,0.4251161301233257,0.6028098719479167,0.5551619785826376,0.33213994984266004,0.2622161717000718,0.41554865518112544
LeoDiCaprio,0.44925182235848715,0.3371141301612557,0.5892915327601349,0.2774806690514301,0.40664627614943516,0.9976805503708481
lorenzo99,0.20986437072724273,0.43557739363931736,0.5881235658428707,0.4107363973417423,0.3666714615132509,0.3079259095862415
manuginobili,0.20277879675774335,0.2639953033984094,0.5493718628211672,0.9706243629340333,0.2638180368358387,0.20920530687812736
MariahCarey,0.5972527036401869,0.3252098409129357,0.5731973425008525,0.06257847375420106,0.23393126856868252,0.47257855303295965
maria_patino,0.1732551639729123,0.29673783053852176,0.670067385661655,0.7193200652347876,0.3015339863185204,0.23893724807034614
martinvars,0.3910914772707641,0.4647536740781828,0.4736818202351095,0.15467703495107632,0.4109823368222995,0.5647815069965272
MeganFox516,0.5593400503468884,0.5903996129530072,0.35631721553574947,0.29386756995364394,0.2926201471842143,0.8297695538889078
MelanieGriffith,0.5035538485961495,0.3411217063534143,0.4293085835211343,0.42134953547757836,0.22054131450290604,0.6162119206796304
MileyCyrus,0.42293025013350727,0.3693457815005714,0.516647807550561,0.44581590595596277,0.4152894628256822,0.4061445383347851
NadalMiki,0.06389004383949337,0.2385258221308372,0.8749571068768986,0.8504821902564929,0.2542993585262213,0.38757668653823674
OfficialAdele,0.840945977489405,0.402999374872966,0.16465873120184726,0.17525437158219237,0.0,0.650146303020705
Oprah,0.5857445006755022,0.428106238904689,0.4455561606097468,0.33200950328733314,0.2011436253807425,0.6323212784169109
pabloalboran,0.1395037161255548,0.0725451534681962,0.6297413828524077,0.4675818409059104,0.3046662950188487,0.3344042111137506
Pablo_Iglesias_,0.22857406663034818,0.34869588822639597,0.644154979582217,0.5086027744767374,0.2636015497304391,0.3428995901253002
paugasol,0.2661873605661088,0.43641087241920895,0.5638340113814049,0.3327424978283686,0.45320446888997934,0.36366528659178066
PaulaMeliveo,0.5009565774404938,0.3453602978688076,0.4727128501791652,0.3399079782679876,0.490628849286061,0.1728058317590676
paulocoelho,0.3754841194611802,0.47618753255795165,0.6279782730923518,0.3594595189968711,0.3525593608470955,0.3571184149500571
perezreverte,0.17735179936185297,0.26737196101950866,0.6001752387998804,0.7681779273110231,0.4012842548466334,0.30965901592365097
pnique,0.03650482929318177,0.40532620868961744,0.70492857240454,0.6263845998633445,0.31292483361148815,0.3621221290860209
porliniers,0.27505826901762154,0.20175406036413876,0.7696994614952866,0.679585341093923,0.21866831756967597,0.1631255114007006
RafaelNadal,0.1630029457958967,0.5311310558568151,0.8273227285632727,0.17256260051858263,0.24383224184119667,0.4245804157569862
RealHughJackman,0.33107606875801676,0.32834502493914863,0.5892852844775007,0.26180876234450445,0.373866084510413,0.4001331055832702
Rep_Hunter,0.22303531864543302,0.8110235783289964,0.2928623071547797,0.12549837857809226,0.6611177175217159,0.547879360339061
rihanna,0.8152273470675837,0.46249916268013846,0.20004900404076675,0.0,0.22485436688437532,0.38189943175605107
ristomejide,0.34842547439676075,0.296671802228483,0.6524449675821105,0.7860448850610783,0.2677092705417306,0.3318632330705158
sanchezcastejon,0.1295713968708454,0.44069797404132527,0.5437349880147242,0.47778455197539094,0.3294658341906609,0.4651611218575959
SarahPalinUSA,0.363319418258099,0.4038002104434003,0.3886349136236922,0.42885488034933594,0.4569468894990637,0.48173003321983543
SerranoIsmael,0.20345741821893948,0.28639414516755934,0.6763774703752388,0.8005447870183425,0.363178820309994,0.28752785601972825
shakira,0.606423475340429,0.2501307463446246,0.7568149435191718,0.3608639616036958,0.25729026210235034,0.14006063279827155
SJP,0.3884649564311682,0.5591710462773254,0.39650288726576177,0.310152095887682,0.3394985822229835,0.5068513553768246
springsteen,0.5790251116334943,0.5389134219519887,0.3410684397979913,0.05548742458438627,0.25978766397383957,0.44886982801853675
SSantiagosegura,0.3220927205862876,0.28837824921688004,0.1285969260102683,0.24703182131814516,0.4181702926441141,0.03699713050003206
stevewoz,0.24236014571957387,0.4943722173548579,0.20558559026407675,0.4690248419798244,0.3352542932578429,0.26820680761529847
taylorswift13,0.5741848528196216,0.37138198545237655,0.576639805858808,0.21748644386927884,0.13161278666620707,0.4498143874692217
TheEllenShow,0.45051663723942115,0.2856478505607273,0.6642370815297798,0.1706356043577718,0.20169373271137156,0.6980435741677131
thelittleidiot,0.33077217437975315,0.37820463161671447,0.42844021810931243,0.3933322690855381,0.44426125932309696,0.6859151291652056
TheReal_Jlh,0.5072633035912757,0.21292122095080426,0.6170594356580299,0.25834073836011484,0.31947544233113384,0.6636897018510349
TomCruise,0.6804889539372427,0.1612542956991829,0.6554711056800488,0.11244166952791168,0.13353929530745462,0.5759036473946373
tomhanks,0.24775379703608313,0.46980516287776874,0.4451690102102773,0.25512382399472944,0.45817883534382076,0.5169950000565605
usainbolt,0.2588674771924451,0.545091675845176,0.6143265049085973,0.30937699396591967,0.29961414485262033,0.4737385135160613
victoriabeckham,0.6704594556669812,0.3005987755398113,0.35690569678538264,0.2678635287321487,0.20572118596063688,0.4949147445541717
XabiAlonso,0.13314542510948357,0.34177210554947235,0.4913859279241878,0.7135671483395066,0.48679130159342443,0.20041817023186015
XaviRodriguez,0.046548796439092155,0.18102677109334667,0.7254713940249204,0.9844390048372972,0.4677642289832221,0.20051479432736433
xoellopez,1.0,0.11096101776166326,0.21583727157482158,0.3129298721556616,0.09637868231253718,0.32656917531098817
ZacEfron,0.5162950733070504,0.43453135108640495,0.4320748708611267,0.43808886588453944,0.27255887802158674,0.5353912851664574
_josecoronado_,0.1496904284476427,0.2612555712732768,0.6450588410743721,0.9630440112929631,0.35827796709021237,0.5124296293782499
