usuario,op,co,ex,ag,ne,wordcount,cluster
cesarmillan,0.3683038619372687,0.3848127276543768,0.4189599201114518,0.4531186750006243,0.3232576045344461,0.7294030421978634,0
CFKArgentina,0.1421206630325074,0.3588724805706491,0.6522037401101477,0.5983681008039824,0.2392757286187717,0.332268111597531,3
charliesheen,0.1500127988362705,0.1719414527286001,0.5195947845268792,0.6202896444266693,0.4959980606799237,0.555008333239066,3
ChristianG_7,0.3474722802256973,0.2394236539827456,0.6784465271729059,0.6467672258273182,0.0820538856799052,0.1021208281957594,3
CindyCrawford,0.45608974580465,0.3507859630465945,0.4803378215452553,0.3352461444969922,0.283585340214846,0.5032899326176552,2
Clyburn,0.10114915025709,0.6113425292892033,0.5479542806595328,0.1549918331823872,0.583692028093298,0.8501940023302904,0
CourteneyCox,0.5540407226625113,0.2949099544007389,0.493846219601801,0.2525936084321164,0.1334353222330819,0.535001489425082,2
Courtney,0.462259101618633,0.3539792539001993,0.5694992101149632,0.3741688708031419,0.320592608176772,0.5145228372228067,2
Cristiano,0.5488877153822913,0.4440986593620544,0.4844652620041058,0.3410398259408129,0.2548788798657361,0.5246693099248501,2
CristiPedroche,0.0161084895971903,0.1162097778043262,1.0,0.7702086732443917,0.1066301398420419,0.2699634808052699,3
DaniMateoAgain,0.1182719728232765,0.2720066505992193,0.7654476875057348,0.8638660388052285,0.3746131567598033,0.2609557584190224,3
DANIROVIRA,0.2818310225363176,0.3839237506320133,0.7578586012181185,0.6639163438567363,0.0660814687865727,0.2146223836080285,3
davidbisbal,0.0193271785663691,0.2045131295224395,0.9048834875200402,0.6453247682807179,0.1518711950528338,0.3910749501325399,3
David_Busta,0.2142380023027348,0.0,0.6264650703252721,0.5767733449857063,0.0454816400153231,0.4604392672782736,3
Diane_Keaton,0.4063615879041544,0.3744460436585695,0.4055946733706607,0.4617288830126836,0.1701154628398881,0.687785865921577,0
DidacLee,0.3607262022267961,0.3395762274821983,0.7356307369020314,0.4817711649615949,0.2204868441160804,0.1216219273537629,1
drexlerjorge,0.3615548632890408,0.2056491323571338,0.7797403058138057,0.5245529351961656,0.2087795892401202,0.2653721865891411,3
edans,0.2981152261905173,0.3723339274923957,0.6585419785641602,0.4936388600544097,0.2491734772443858,0.1816565989072522,1
EdwardNorton,0.2405714279681302,0.3419799307920881,0.4626319633645441,0.6798015370760603,0.2974386411791156,0.8425239344954619,0
EmWatson,0.5402374872779472,0.7041841965368186,0.4035231123974632,0.2074043958634758,0.2035923525145644,0.4281932142547407,2
enrique305,0.639958561907976,0.63203308298337,0.3024984718451169,0.3559677396716463,0.4491662087159677,0.4106778580936113,2
epunset,0.4484347747884714,0.2812795238265154,0.6329722069094725,0.3223293777440336,1.0,0.3768023928839417,1
EvaLongoria,0.5622765362538675,0.4825308452602501,0.4820848851320096,0.2349931389268282,0.1725051004980815,0.5286544646930842,2
eva_hache,0.034321948655695,0.277074461003534,0.6515096701777152,1.0,0.3182150847326085,0.1523413196683295,3
FALCAO,0.0448945216565714,0.1522219866518469,0.843149239477029,0.4792737848431782,0.1445906831497252,0.3195179730244379,3
Fergie,0.457275641727028,0.3735322252495368,0.6558814014688861,0.2603565213062547,0.1153379501852189,0.3578607708057602,2
FernandezAnibal,0.1482045732972605,0.3985326159389755,0.5753592482922132,0.4759262001171014,0.3326560122299526,0.206276418441722,1
fieritacatalano,0.2133848425306433,0.3283252331985172,0.6876996502566342,0.6190948435020207,0.2235711317233833,0.1957618315026602,3
foofighters,0.7247544274279591,0.3459778623996342,0.2482067550402368,0.1608539670955598,0.1500371989165709,0.062302745444056,2
GeorgeHWBush,0.132561511197518,0.3008567143312567,0.2820708666115163,0.9629005520542984,0.1598595605268184,0.2479873907912052,3
gwenstefani,0.6429506198149597,0.3608767832041208,0.4795820224703804,0.148851541173297,0.2072777753108745,0.39048577881849,2
GwynethPaltrow,0.4666880652459431,0.3730955864250868,0.2983790301605331,0.43952393785411,0.3724750415598157,0.5152783905159445,2
heidiklum,0.4268984652530072,0.444582827082386,0.5511843024079324,0.3680144790560862,0.2739437331362405,0.4420302560679932,1
HerreraBeutler,0.1381872883896941,0.4466972646498188,0.3047358432757611,0.5877747214846148,0.4527627358409785,0.8347817520917938,0
HilaryDuff,0.6227511096163938,0.3459476841832665,0.3500122121103777,0.3844564680501696,0.3213845640249066,0.5155960716884802,2
HillaryClinton,0.2515030354405391,0.42012346647814,0.3731322436620168,0.2385763267573669,0.4008510627542868,0.7840262930660665,0
hughlaurie,0.2103821309241768,0.524425078054724,0.443790036114101,0.4713400765037076,0.3626111953029618,0.4391574567406854,1
IamStevenT,0.529373617178601,0.4055146968990649,0.5034794668060836,0.2341082764598607,0.1295866625815328,0.5369726209733676,2
IanMcKellen,0.657629138194415,0.4105767636301612,0.350786002349257,0.0993190338117791,0.278032716134464,0.559931920076319,2
ierrejon,0.2281447033453385,0.4073993875377655,0.5752196952092594,0.4637497815100129,0.274994488686261,0.4082330328088294,1
iescolar,0.2241376406144363,0.3438754386820164,0.5229976430116411,0.542416439949168,0.4917375613276638,0.2201148742661282,1
JerrySeinfeld,0.8792925050936202,0.29985743485113,0.1984382113651545,0.2013080016780286,0.1342090196075526,0.7886293707084762,2
jessicaalba,0.4455030158607671,1.0,0.2016751135181668,0.0205320000587009,0.0849445637442752,1.0,0
JessieJ,0.5436089512575013,0.4029883422339925,0.4043807803604174,0.2303348220972755,0.3923772136166031,0.4090814395010614,2
JesusCalleja,0.3789400452023992,0.1945712140930977,0.8473431743055448,0.6745262208286893,0.1979597659063225,0.5044376383374245,3
JesusEncinar,0.3537999538531649,0.3407440119753671,0.6141510667471699,0.4961644716209522,0.2451687272523493,0.3810590377936901,1
jiminhofe,0.3028847002893584,0.67422206194183,0.3562357933624372,0.1706484252079399,0.3662272881909203,0.7193032318638929,0
jimlangevin,0.347735623360434,0.4631018415245411,0.4626659277646985,0.18668363196589,0.4030852201403253,0.7957988785948877,0
jimmyfallon,0.5233295383128149,0.2567468835247927,0.6226675002896822,0.0237725738483367,0.4457971063500313,0.5381240973895469,2
jk_rowling,0.2923142868221609,0.3580589131912477,0.4846707502718975,0.3959406246925673,0.5098383323276647,0.637139285754686,0
JLo,0.6531591914168422,0.3603366625338544,0.3535973648487956,0.2202298819999004,0.2832803060486226,0.469933880838452,2
JohnKerry,0.1519551794063798,0.2852744400056221,0.4991376397469742,0.5530432621844357,0.3792761269062402,0.9497964766612746,0
jordievole,0.13307823961725,0.2969836118883218,0.7290309701355917,0.6591719578784236,0.3476688787889655,0.2705738622866257,3
jordiGlez,0.0816217349290464,0.2391706212455074,0.9201196937553788,0.7329579968166565,0.1006198773597061,0.2221251267896667,3
josjaviersantos,0.0415070771277933,0.3040782927754618,0.623631072996425,0.9541754679458444,0.1826103159330369,0.3100888753143818,3
JPVarsky,0.0794683679185052,0.3217436777175178,0.678560576565264,0.896593480927003,0.469328139153449,0.3344772683566928,3
jtimberlake,0.2857523757749847,0.4564327189589342,0.5656649283798505,0.2720641955634295,0.2405185249645844,0.484254985803328,1
JudgeJudy,0.6508537452456666,0.3375135308376736,0.3039291826939979,0.2263316475140964,0.1605199159203824,0.4664186491103042,2
justdemi,0.3867216848662569,0.3473465079316417,0.6122139046315624,0.2090109666866674,0.2287828583348559,0.7399011323401319,0
justinbieber,0.4633583282560298,0.3849018981810911,0.3832771692955403,0.4692391835746557,0.2294836961199087,0.3985079354305946,1
KAKA,0.3395432163960243,0.5026324809937665,0.5982379064975867,0.5801531576842757,0.3064528365541091,0.2661348099380474,1
kanyewest,0.4631457821523852,0.362369563873559,0.5543557313113987,0.1564453211362394,0.2198147231189621,0.4209096428019291,2
KateUpton,0.3872239684051586,0.3378048786616724,0.7078107325656746,0.4487507296454536,0.1943342605355205,0.5377418430409913,1
katyperry,0.4399544539950222,0.498343536609826,0.4153707315173247,0.1852973495657872,0.422010237033771,0.4427009686919077,2
KevinSpacey,0.4108634957801751,0.4782560686035815,0.5219570729854357,0.3585366735623231,0.3835035082633102,0.7659486318028077,0
KidRock,0.4410935840158421,0.4628562994944586,0.4244646571119971,0.0911797122866939,0.3012077304895898,0.4335320490341361,2
kobebryant,0.2462144574349193,0.5849184495327485,0.4047519088989695,0.3676697548503178,0.434437721152494,0.4507193546076025,1
ladygaga,0.4565939969186814,0.4367339061737952,0.3458462122108364,0.420166084682131,0.3426708939753965,0.7567698140669601,0
LennyKravitz,0.4251161301233257,0.6028098719479167,0.5551619785826376,0.33213994984266,0.2622161717000718,0.4155486551811254,1
